 avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
8.73,14.8,5.6,60.7,91,26,215.32,0
10.78,17.2,4.7,66.09,85,48,195.15,0
8.4,12.3,1.1,60.26,84,25,255.1,0
0.18,3.9,-3.1,33.7,43,23,235.1,0
2.76,9.5,-2.8,32.17,44,21,261.58,0
4.11,8.0,0.8,36.0,44,26,216.75,0
8.08,15.5,0.7,33.57,47,20,258.44,0
9.54,16.1,4.3,48.96,67,33,222.24,0
7.65,10.7,3.3,49.22,67,39,156.0,0
5.15,8.7,0.6,89.26,100,45,157.27,0
2.37,6.4,0.2,75.57,95,48,200.86,0
4.23,9.6,-1.2,65.52,93,38,172.11,0
7.14,13.0,2.6,62.0,72,50,177.75,0
9.06,15.6,3.3,69.13,89,45,198.37,0
6.87,11.4,3.6,70.61,92,51,175.83,0
6.24,12.1,2.1,61.7,72,44,219.24,0
7.07,13.5,1.6,59.48,85,33,203.1,0
6.71,12.0,2.4,56.52,77,33,154.87,0
8.73,17.0,1.8,62.22,90,30,181.85,0
10.12,16.9,4.8,52.52,80,23,105.78,0
10.7,14.8,7.7,55.39,68,41,188.84,0
9.22,14.0,4.6,62.26,79,42,232.1,0
9.23,14.6,5.0,71.39,91,49,179.03,0
10.48,15.6,5.1,66.0,87,40,173.35,0
8.78,12.6,5.4,53.7,95,27,175.6,0
8.8,17.4,1.9,44.83,61,24,246.89,0
11.43,18.1,5.1,50.74,67,34,216.24,0
15.15,20.2,11.6,47.78,61,33,146.38,0
10.23,14.2,7.7,72.65,92,44,190.5,0
5.97,8.0,3.5,68.52,88,46,125.76,0
6.11,10.8,1.1,53.87,78,27,190.63,0
8.9,16.0,2.7,63.61,90,35,203.4,0
10.73,16.7,5.9,60.26,80,40,223.46,0
12.22,18.8,7.5,67.22,85,40,296.93,0
12.24,20.6,4.9,60.87,94,27,198.22,0
11.91,14.9,10.3,68.57,100,42,166.97,0
9.21,12.8,7.7,95.78,100,89,160.76,0
10.46,14.2,8.0,63.26,100,34,78.35,0
10.75,18.2,4.2,47.78,81,22,276.23,0
14.3,22.3,6.0,40.78,63,19,138.4,0
17.72,23.6,12.0,33.48,53,19,150.16,0
17.6,22.9,12.6,35.48,45,26,226.22,0
15.43,17.7,11.4,78.87,98,45,169.68,0
12.07,15.5,9.5,67.96,96,50,190.64,0
11.89,19.0,5.4,47.96,78,21,214.08,0
13.96,18.9,9.4,49.57,66,29,218.88,0
14.05,20.4,8.2,49.7,79,27,164.61,0
13.1,17.8,7.2,34.7,49,23,177.1,0
13.62,19.5,7.7,38.52,52,26,258.44,0
12.74,18.8,7.8,48.91,63,29,185.56,0
14.71,21.5,7.6,45.78,68,26,218.03,0
13.9,17.6,12.0,67.52,99,39,196.48,0
10.92,13.1,6.5,75.43,99,53,193.88,0
8.19,13.0,3.1,56.96,79,33,140.71,0
11.5,17.8,6.4,61.78,87,32,204.43,0
11.5,14.7,8.7,59.61,94,38,168.72,0
9.53,13.9,6.2,57.0,75,35,153.14,0
9.99,15.2,5.6,63.09,79,43,178.87,0
12.12,19.0,5.8,65.83,87,45,247.05,0
14.7,21.8,8.3,56.52,89,30,185.92,0
19.01,28.1,10.4,43.96,65,23,222.57,0
20.94,27.5,16.1,37.87,53,22,216.94,0
19.09,21.7,17.1,42.74,58,31,201.12,0
18.33,22.0,15.5,40.74,65,26,171.69,0
18.2,23.9,12.6,51.04,76,31,237.95,0
16.41,20.2,12.4,49.96,76,30,134.76,0
15.37,19.6,12.6,60.35,77,39,190.35,0
14.56,17.9,11.3,66.26,95,37,120.84,0
